formulation,seed,model,true_label,predicted_label,count
binary_0_vs_1_4,42,LogisticRegression_balanced,0,0,68
binary_0_vs_1_4,42,LogisticRegression_balanced,0,1,14
binary_0_vs_1_4,42,LogisticRegression_balanced,1,0,16
binary_0_vs_1_4,42,LogisticRegression_balanced,1,1,86
binary_0_vs_1_4,42,RandomForest_balanced,0,0,65
binary_0_vs_1_4,42,RandomForest_balanced,0,1,17
binary_0_vs_1_4,42,RandomForest_balanced,1,0,13
binary_0_vs_1_4,42,RandomForest_balanced,1,1,89
binary_0_vs_1_4,42,ExtraTrees_balanced,0,0,68
binary_0_vs_1_4,42,ExtraTrees_balanced,0,1,14
binary_0_vs_1_4,42,ExtraTrees_balanced,1,0,14
binary_0_vs_1_4,42,ExtraTrees_balanced,1,1,88
binary_0_vs_1_4,42,XGBoost_fixed,0,0,67
binary_0_vs_1_4,42,XGBoost_fixed,0,1,15
binary_0_vs_1_4,42,XGBoost_fixed,1,0,9
binary_0_vs_1_4,42,XGBoost_fixed,1,1,93
binary_0_vs_1_4,42,LightGBM_fixed,0,0,65
binary_0_vs_1_4,42,LightGBM_fixed,0,1,17
binary_0_vs_1_4,42,LightGBM_fixed,1,0,13
binary_0_vs_1_4,42,LightGBM_fixed,1,1,89
binary_0_vs_1_4,7,LogisticRegression_balanced,0,0,64
binary_0_vs_1_4,7,LogisticRegression_balanced,0,1,18
binary_0_vs_1_4,7,LogisticRegression_balanced,1,0,19
binary_0_vs_1_4,7,LogisticRegression_balanced,1,1,83
binary_0_vs_1_4,7,RandomForest_balanced,0,0,59
binary_0_vs_1_4,7,RandomForest_balanced,0,1,23
binary_0_vs_1_4,7,RandomForest_balanced,1,0,16
binary_0_vs_1_4,7,RandomForest_balanced,1,1,86
binary_0_vs_1_4,7,ExtraTrees_balanced,0,0,58
binary_0_vs_1_4,7,ExtraTrees_balanced,0,1,24
binary_0_vs_1_4,7,ExtraTrees_balanced,1,0,19
binary_0_vs_1_4,7,ExtraTrees_balanced,1,1,83
binary_0_vs_1_4,7,XGBoost_fixed,0,0,59
binary_0_vs_1_4,7,XGBoost_fixed,0,1,23
binary_0_vs_1_4,7,XGBoost_fixed,1,0,12
binary_0_vs_1_4,7,XGBoost_fixed,1,1,90
binary_0_vs_1_4,7,LightGBM_fixed,0,0,59
binary_0_vs_1_4,7,LightGBM_fixed,0,1,23
binary_0_vs_1_4,7,LightGBM_fixed,1,0,16
binary_0_vs_1_4,7,LightGBM_fixed,1,1,86
binary_0_vs_1_4,21,LogisticRegression_balanced,0,0,64
binary_0_vs_1_4,21,LogisticRegression_balanced,0,1,18
binary_0_vs_1_4,21,LogisticRegression_balanced,1,0,19
binary_0_vs_1_4,21,LogisticRegression_balanced,1,1,83
binary_0_vs_1_4,21,RandomForest_balanced,0,0,66
binary_0_vs_1_4,21,RandomForest_balanced,0,1,16
binary_0_vs_1_4,21,RandomForest_balanced,1,0,18
binary_0_vs_1_4,21,RandomForest_balanced,1,1,84
binary_0_vs_1_4,21,ExtraTrees_balanced,0,0,64
binary_0_vs_1_4,21,ExtraTrees_balanced,0,1,18
binary_0_vs_1_4,21,ExtraTrees_balanced,1,0,21
binary_0_vs_1_4,21,ExtraTrees_balanced,1,1,81
binary_0_vs_1_4,21,XGBoost_fixed,0,0,65
binary_0_vs_1_4,21,XGBoost_fixed,0,1,17
binary_0_vs_1_4,21,XGBoost_fixed,1,0,16
binary_0_vs_1_4,21,XGBoost_fixed,1,1,86
binary_0_vs_1_4,21,LightGBM_fixed,0,0,65
binary_0_vs_1_4,21,LightGBM_fixed,0,1,17
binary_0_vs_1_4,21,LightGBM_fixed,1,0,22
binary_0_vs_1_4,21,LightGBM_fixed,1,1,80
binary_0_vs_1_4,84,LogisticRegression_balanced,0,0,67
binary_0_vs_1_4,84,LogisticRegression_balanced,0,1,15
binary_0_vs_1_4,84,LogisticRegression_balanced,1,0,22
binary_0_vs_1_4,84,LogisticRegression_balanced,1,1,80
binary_0_vs_1_4,84,RandomForest_balanced,0,0,65
binary_0_vs_1_4,84,RandomForest_balanced,0,1,17
binary_0_vs_1_4,84,RandomForest_balanced,1,0,20
binary_0_vs_1_4,84,RandomForest_balanced,1,1,82
binary_0_vs_1_4,84,ExtraTrees_balanced,0,0,64
binary_0_vs_1_4,84,ExtraTrees_balanced,0,1,18
binary_0_vs_1_4,84,ExtraTrees_balanced,1,0,23
binary_0_vs_1_4,84,ExtraTrees_balanced,1,1,79
binary_0_vs_1_4,84,XGBoost_fixed,0,0,63
binary_0_vs_1_4,84,XGBoost_fixed,0,1,19
binary_0_vs_1_4,84,XGBoost_fixed,1,0,24
binary_0_vs_1_4,84,XGBoost_fixed,1,1,78
binary_0_vs_1_4,84,LightGBM_fixed,0,0,61
binary_0_vs_1_4,84,LightGBM_fixed,0,1,21
binary_0_vs_1_4,84,LightGBM_fixed,1,0,31
binary_0_vs_1_4,84,LightGBM_fixed,1,1,71
binary_0_vs_1_4,123,LogisticRegression_balanced,0,0,67
binary_0_vs_1_4,123,LogisticRegression_balanced,0,1,15
binary_0_vs_1_4,123,LogisticRegression_balanced,1,0,15
binary_0_vs_1_4,123,LogisticRegression_balanced,1,1,87
binary_0_vs_1_4,123,RandomForest_balanced,0,0,66
binary_0_vs_1_4,123,RandomForest_balanced,0,1,16
binary_0_vs_1_4,123,RandomForest_balanced,1,0,17
binary_0_vs_1_4,123,RandomForest_balanced,1,1,85
binary_0_vs_1_4,123,ExtraTrees_balanced,0,0,68
binary_0_vs_1_4,123,ExtraTrees_balanced,0,1,14
binary_0_vs_1_4,123,ExtraTrees_balanced,1,0,18
binary_0_vs_1_4,123,ExtraTrees_balanced,1,1,84
binary_0_vs_1_4,123,XGBoost_fixed,0,0,67
binary_0_vs_1_4,123,XGBoost_fixed,0,1,15
binary_0_vs_1_4,123,XGBoost_fixed,1,0,17
binary_0_vs_1_4,123,XGBoost_fixed,1,1,85
binary_0_vs_1_4,123,LightGBM_fixed,0,0,64
binary_0_vs_1_4,123,LightGBM_fixed,0,1,18
binary_0_vs_1_4,123,LightGBM_fixed,1,0,16
binary_0_vs_1_4,123,LightGBM_fixed,1,1,86
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,0,0,69
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,0,1,7
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,0,2,6
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,1,0,19
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,1,1,36
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,1,2,20
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,2,0,3
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,2,1,10
ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,2,2,14
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,0,0,66
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,0,1,15
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,0,2,1
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,1,0,13
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,1,1,51
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,1,2,11
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,2,0,2
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,2,1,18
ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,2,2,7
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,0,0,70
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,0,1,8
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,0,2,4
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,1,0,18
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,1,1,42
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,1,2,15
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,2,0,3
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,2,1,15
ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,2,2,9
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,0,0,68
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,0,1,14
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,0,2,0
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,1,0,16
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,1,1,51
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,1,2,8
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,2,0,3
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,2,1,17
ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,2,2,7
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,0,0,66
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,0,1,13
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,0,2,3
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,1,0,15
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,1,1,43
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,1,2,17
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,2,0,2
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,2,1,15
ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,2,2,10
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,0,0,59
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,0,1,19
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,0,2,4
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,1,0,11
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,1,1,37
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,1,2,27
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,2,0,5
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,2,1,8
ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,2,2,14
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,0,0,60
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,0,1,22
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,0,2,0
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,1,0,15
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,1,1,49
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,1,2,11
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,2,0,3
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,2,1,15
ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,2,2,9
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,0,0,63
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,0,1,15
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,0,2,4
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,1,0,17
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,1,1,41
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,1,2,17
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,2,0,4
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,2,1,16
ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,2,2,7
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,0,0,60
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,0,1,21
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,0,2,1
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,1,0,20
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,1,1,46
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,1,2,9
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,2,0,3
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,2,1,16
ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,2,2,8
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,0,0,62
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,0,1,20
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,0,2,0
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,1,0,18
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,1,1,48
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,1,2,9
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,2,0,4
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,2,1,14
ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,2,2,9
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,0,0,59
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,0,1,21
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,0,2,2
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,1,0,21
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,1,1,33
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,1,2,21
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,2,1,11
ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,2,2,15
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,0,0,64
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,0,1,16
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,0,2,2
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,1,0,22
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,1,1,46
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,1,2,7
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,2,0,0
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,2,1,18
ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,2,2,9
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,0,0,63
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,0,1,15
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,0,2,4
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,1,0,16
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,1,1,46
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,1,2,13
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,2,0,0
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,2,1,15
ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,2,2,12
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,0,0,67
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,0,1,13
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,0,2,2
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,1,0,22
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,1,1,48
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,1,2,5
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,2,0,0
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,2,1,19
ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,2,2,8
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,0,0,63
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,0,1,13
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,0,2,6
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,1,0,22
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,1,1,42
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,1,2,11
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,2,1,14
ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,2,2,12
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,0,0,64
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,0,1,16
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,0,2,2
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,1,0,15
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,1,1,32
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,1,2,28
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,2,1,12
ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,2,2,14
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,0,0,64
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,0,1,18
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,0,2,0
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,1,0,16
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,1,1,47
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,1,2,12
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,2,0,2
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,2,1,16
ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,2,2,9
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,0,0,62
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,0,1,15
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,0,2,5
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,1,0,18
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,1,1,41
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,1,2,16
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,2,0,2
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,2,1,16
ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,2,2,9
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,0,0,64
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,0,1,17
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,0,2,1
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,1,0,16
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,1,1,56
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,1,2,3
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,2,0,3
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,2,1,18
ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,2,2,6
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,0,0,63
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,0,1,16
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,0,2,3
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,1,0,14
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,1,1,50
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,1,2,11
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,2,1,15
ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,2,2,11
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,0,0,65
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,0,1,13
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,0,2,4
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,1,0,14
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,1,1,30
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,1,2,31
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,2,1,7
ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,2,2,19
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,0,0,68
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,0,1,13
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,0,2,1
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,1,0,21
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,1,1,46
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,1,2,8
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,2,1,16
ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,2,2,10
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,0,0,68
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,0,1,12
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,0,2,2
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,1,0,16
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,1,1,43
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,1,2,16
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,2,1,10
ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,2,2,16
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,0,0,64
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,0,1,18
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,0,2,0
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,1,0,20
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,1,1,50
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,1,2,5
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,2,0,1
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,2,1,18
ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,2,2,8
ordinal_3class_0_vs_1_2_vs_3_4,123,LightGBM_fixed,0,0,63
ordinal_3class_0_vs_1_2_vs_3_4,123,LightGBM_fixed,0,1,15
ordinal_3class_0_vs_1_2_vs_3_4,123,LightGBM_fixed,0,2,4
